"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelDevice.type","BeModelDevice.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type","The kind of medical device, e.g. SNOMED CT code 304120007 - Cardiac pacemaker, device (physical object)","","","","","","","","","",,"required","","https://www.ehealth.fgov.be/standards/fhir/terminology/ValueSet/be-vs-device-type","",,,,"BeModelDevice.type",0,1,"",""
"BeModelDevice.deviceDefinition","BeModelDevice.deviceDefinition","","","",0,1,"","","","Reference {[]} {[]}
","Device Definition","Reference to the generic definition of the device, describing general characteristics of the device type rather than the unique instance","","","","","","","","","",,,,,"",,,,"BeModelDevice.deviceDefinition",0,1,"",""
"BeModelDevice.manufacturer","BeModelDevice.manufacturer","","","",0,1,"","","","string {[]} {[]}
","Manufacturer","The manufacturer that produced the device, e.g. Medtronic","","","","","","","","","",,,,,"",,,,"BeModelDevice.manufacturer",0,1,"",""
"BeModelDevice.manufactureDate","BeModelDevice.manufactureDate","","","",0,1,"","","","dateTime {[]} {[]}
","Manufacture Date","The date the device was manufactured","","","","","","","","","",,,,,"",,,,"BeModelDevice.manufactureDate",0,1,"",""
"BeModelDevice.expirationDate","BeModelDevice.expirationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Expiration Date","The date after which the device may no longer be used","","","","","","","","","",,,,,"",,,,"BeModelDevice.expirationDate",0,1,"",""
"BeModelDevice.lotNumber","BeModelDevice.lotNumber","","","",0,1,"","","","string {[]} {[]}
","Lot Number","The lot or batch number in which the device was produced","","","","","","","","","",,,,,"",,,,"BeModelDevice.lotNumber",0,1,"",""
"BeModelDevice.version","BeModelDevice.version","","","",0,1,"","","","string {[]} {[]}
","Version","The actual version of the device or the software version running on it","","","","","","","","","",,,,,"",,,,"BeModelDevice.version",0,1,"",""
"BeModelDevice.serialNumber","BeModelDevice.serialNumber","","","",0,1,"","","","string {[]} {[]}
","Serial Number","A unique identification code assigned by the manufacturer to one specific device","","","","","","","","","",,,,,"",,,,"BeModelDevice.serialNumber",0,1,"",""
"BeModelDevice.deviceName","BeModelDevice.deviceName","","","",0,1,"","","","string {[]} {[]}
","Device Name","The name of the medical device as determined by the manufacturer","","","","","","","","","",,,,,"",,,,"BeModelDevice.deviceName",0,1,"",""
"BeModelDevice.modelNumber","BeModelDevice.modelNumber","","","",0,1,"","","","string {[]} {[]}
","Model Number","The model number of the device as assigned by the manufacturer","","","","","","","","","",,,,,"",,,,"BeModelDevice.modelNumber",0,1,"",""
"BeModelDevice.property","BeModelDevice.property","","","",0,*,"","","","BackboneElement {[]} {[]}
","Property","The actual configuration settings of a device as it operates, e.g. regulation status or time properties","","","","","","","","","",,,,,"",,,,"BeModelDevice.property",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelDevice.property.id","BeModelDevice.property.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelDevice.property.extension","BeModelDevice.property.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelDevice.property.modifierExtension","BeModelDevice.property.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelDevice.property.type","BeModelDevice.property.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Property Type","Code that specifies the property","","","","","","","","","",,,,,"",,,,"BeModelDevice.property.type",1,1,"",""
"BeModelDevice.property.value[x]","BeModelDevice.property.value[x]","","","",0,1,"","","","Quantity {[]} {[]}
CodeableConcept {[]} {[]}string {[]} {[]}boolean {[]} {[]}integer {[]} {[]}Range {[]} {[]}Attachment {[]} {[]}","Property Value","Value of the property","","","","","","","","","",,,,,"",,,,"BeModelDevice.property.value[x]",0,1,"",""
"BeModelDevice.note","BeModelDevice.note","","","",0,*,"","","","Annotation {[]} {[]}
","Note","General notes about the device","","","","","","","","","",,,,,"",,,,"BeModelDevice.note",0,*,"",""
